No.,Redshift,F125W,F125W_err,F160W,F160W_err
2,5.654,27.05,0.12,27.13,0.13
4,5.671,26.09,0.11,26.08,0.14
5,5.681,26.81,0.11,26.95,0.17
7,5.691,26.66,0.12,27.06,0.20
10,5.696,27.11,0.13,27.40,0.23
17,5.716,26.86,0.13,27.09,0.21
19,5.718,25.98,0.12,26.03,0.16
20,5.724,26.04,0.09,26.05,0.11
21,5.738,27.17,0.14,27.19,0.18
22,5.743,26.81,0.17,26.81,0.21
23,5.922,25.58,0.05,25.64,0.07
27,6.040,26.42,0.11,26.81,0.19
29,6.049,27.27,0.13,27.35,0.18
33,6.269,26.79,0.13,26.88,0.17
34,6.315,24.90,0.04,24.90,0.04
35,6.332,25.45,0.06,25.52,0.07
36,6.482,25.75,0.07,25.69,0.08
39,6.534,26.59,0.13,26.52,0.15
40,6.534,26.69,0.12,27.25,0.25
43,6.542,26.23,0.08,26.50,0.12
44,6.543,25.12,0.05,24.99,0.06
45,6.544,26.98,0.19,27.28,0.30
46,6.545,26.69,0.13,26.66,0.16
47,6.547,24.65,0.03,24.67,0.04
48,6.548,27.20,0.19,27.22,0.25
49,6.548,26.32,0.10,26.35,0.13
50,6.550,26.70,0.12,26.61,0.14
52,6.554,27.57,0.15,27.67,0.21
54,6.556,25.96,0.14,25.82,0.15
58,6.583,25.77,0.09,25.69,0.10
61,6.599,25.93,0.14,26.26,0.24
62,6.964,25.42,0.05,25.44,0.05
63,6.023,25.16,0.06,25.38,0.09
64,6.116,25.22,0.07,25.56,0.09
66,6.575,26.72,0.20,26.68,0.23
67,6.595,24.61,0.08,24.80,0.08
