m1500	m1500err	beta	betaerr
-19.53	0.15	-2.09	0.52	
-21.46	0.03	-2.36	0.13	
-20.50	0.27	-1.96	0.79	
-20.07	0.09	-3.00	0.35	
-20.12	0.08	-3.01	0.34	 
-19.69	0.13	-2.89	0.49	
-21.27	0.04	-2.19	0.28	
-21.94	0.02	-2.21	0.11	
-19.99	0.34	-3.02	1.10	
-20.46	0.08	-1.57	0.30	
-20.46	0.08	-1.68	0.26	
-19.85	0.10	-3.18	0.37	
-19.90	0.12	-2.24	0.44	
-21.17	0.03	-2.35	0.14	
-21.19	0.04	-2.58	0.22	
-21.30	0.04	-2.82	0.20	
--    	--  	--	 	--
-20.20	0.09	-2.20	0.40	
-20.85	0.06	-2.81	0.39	
-19.58	0.12	-2.62	0.47	
-20.68	0.07	-3.45	0.38	
-20.53	0.19	-2.51	0.76	
--    	--  	--	 	--
-20.03	0.24	-2.40	0.95	
-21.82	0.04	-1.79	0.17	
-21.37	0.11	-2.31	0.41	
-21.25	0.07	-2.57	0.30	
-20.19	0.26	-2.55	0.94	
-20.21	0.20	-1.69	0.88	
-20.39	0.12	-4.37	0.73	
-20.70	0.09	-3.05	0.47	
-21.74	0.03	-1.79	0.16	
-19.99	0.31	-3.33	1.57	
-20.13	0.21	-1.87	0.91	
-22.08	0.03	-1.57	0.17	
-19.64	0.30	-2.09	1.39	
-20.49	0.13	-1.98	0.59	
-20.09	0.19	-1.60	0.82	
-19.31	0.24	-2.44	1.14	 
-21.12	0.09	-2.64	0.42	 
-21.08	0.09	-1.84	0.40	
-21.06	0.08	-3.47	0.48	
-21.51	0.06	-2.09	0.31	
-21.67	0.04	-2.78	0.17	
-21.62	0.10	-3.01	0.38	
-20.10	0.31	-1.82	1.35	
-22.08	0.08	-1.87	0.33	
