# All MBH are Mg II and have been re-calculated using the VO09 calibration, except single CIV BH mass where noted
Name				z		M1450	a_nu	MBH		S250	E250	Survey		Refs
J0836+0054			5.810	-27.88	-1.81	2.7		0.0		0.97	SDSS		Fan2001,Kurk2007,Petric2003,
J0005-0006			5.850	-25.82	-2.05	0.4		0.36	0.48	Stripe82	Fan2004,Kurk2007,Wang2008
J1306+1217			5.904	-26.75	-1.96	1.1		--		--		SDSS		Fan2004,Kurk2007,
J1306+0356			6.016	-27.19	-1.94	2.7		0.0		1.03	SDSS		Fan2001,Kurk2007,Petric2003
J1030+0524			6.308	-27.15	-1.94	1.6		0.0		1.13	SDSS		Fan2001,Kurk2007,Petric2003
            		                            	        		
J0303-0019			6.078	-25.43	-1.5	1.2		0.23	0.51	Stripe82	Jiang2008,Kurk2009,Wang2008
            		                            	        		
J0353+0104			6.05	-26.49	-2.2	1.6		1.20	0.46	Stripe82	Jiang2008,DeRosa2011,Wang2008
J0842+1218			6.08	--		-0.9	1.9		0.11	0.55	SDSS?		Wang2008?,DeRosa2011,Wang2008
J1048+4637			6.198	-27.55	-1.7	3.6		3.00	0.40	SDSS		Fan2003,DeRosa2011,Wang2007
J1148+5251			6.407	-27.82	-2.1	5.1		5.00	0.60	SDSS		Fan2003,DeRosa2011,Wang2007
J1148+4012			6.05	-26.11	-0.7	1.1		0.80	0.60	SDSS		Fan2003,DeRosa2011,Bertoldi2003
J2054-0005			6.06	-26.15	--		--		2.98	0.05	Stripe82	Jiang2008,DeRosa2011,Wang2013
            		                                        		
J1120+0641			7.097	-26.6	-1.47	2.4		--		--		UKIDSS		Mortlock2011,DeRosa2014,
J2348-3054			6.889	-25.72	-2.56	2.1		--		--		VIKING		Venemans2013,DeRosa2014,
J0109-3047			6.747	-25.52	-1.33	1.5		--		--		VIKING		Venemans2013,DeRosa2014,
J0305-3150			6.605	-25.96	-1.37	0.95	--		--		VIKING		Venemans2013,DeRosa2014,
            		                                        		
J1044-0125			5.778	-27.50	-0.27	10.5	3.12	0.09	SDSS		Fan2000,Jiang2007CIV!!!,Wang2013
J1623+3112			6.247	-26.67	--		1.7		0.17	0.80	SDSS		Fan2004,Jiang2007,Wang2007
            		                                        		
J0210-0456			6.438	-24.28	--		0.08	1.14	0.93	CFHQS		Willott2010,Willott2010,Omont2013
J2329-0301			6.417	-25.00	--		0.25	0.06	0.50	CFHQS		Willott2007,Willott2010,Omont2013
J0050+3445			6.253	-26.62	--		2.6		0.69	0.76	CFHQS		Willott2010,Willott2010,Omont2013
J0221-0802			6.161	-24.45	--		0.70	-1.48	1.36	CFHQS		Willott2010,Willott2010,Omont2013
J2229+1457			6.152	-24.52	--		0.12	0.82	0.80	CFHQS		Willott2010,Willott2010,Omont2013
J1509-1749			6.121	-26.78	--		3.0		0.91	0.47	CFHQS		Willott2007,Willott2010,Omont2013
J2100-1715			6.087	-25.03	--		0.94	0.29	0.59	CFHQS		Willott2010,Willott2010,Omont2013
J1641+3755			6.047	-25.19	--		0.24	0.08	0.46	CFHQS		Willott2007,Willott2010,Willott2007
J0055+0146			5.983	-24.53	--		0.24	0.43	0.46	CFHQS		Willott2010,Willott2010,Omont2013

J0033-0125			6.13	-25.03	--		--		1.13	0.36	CFHQS		Willott2007,Willott2007
J1641+3755			6.04	-25.48	--		--		0.08	0.46	CFHQS		Willott2007,Wang2008
J1641-0301			6.43	-25.23	--		--		0.01	0.50	CFHQS		Willott2007,Wang2008
            		
J0129-0035			5.7794	-24.36	--		--		2.57	0.06	Stripe82	Jiang2009,Wang2013
J0203+0012			5.72	-25.72	--		--		1.85	0.46	UKIDSS		Venemans2007,Wang2011
J0239-0045			5.82	-24.50	--		--		1.29	0.54	Stripe82	Jiang2009,Wang2011
J1319+0950			6.1321	-26.95	--		--		5.23	0.10	UKIDSS		Mortlock2009,Wang2013
J2053+0047			5.92	-25.47	--		--		0.09	0.63	Stripe82	Jiang2009,Wang2011
J2147+0107			5.81	-25.00	--		--		-0.36	0.61	Stripe82	Jiang2009,Wang2011
J2307+0031			5.87	-24.93	--		--		-0.56	0.53	Stripe82	Jiang2009,Wang2011
J2356+0023			6.00	-24.92	--		--		0.21	0.49	Stripe82	Jiang2009,Wang2011

J340.2041-18.6621	6.00	-26.0	--		--		--		--		PS1			Bañados2014,
J007.0273+04.9571	5.99	-26.5	--		--		--		--		PS1			Bañados2014,
J037.9706-28.8389	5.99	-25.6	--		--		--		--		PS1			Bañados2014, 
J187.3050+04.3243	5.89	-25.4	--		--		--		--		PS1			Bañados2014, 
J213.3629-22.5617	5.88	-26.6	--		--		--		--		PS1			Bañados2014, 
J183.2991-12.7676	5.86	-27.3	--		--		--		--		PS1			Bañados2014, 
J210.8722-12.0094	5.84	-25.7	--		--		--		--		PS1			Bañados2014, 
J215.1514-16.0417	5.73	-27.6	1.05	--		--		--		PS1			Morganson2012,
J045.1840-22.5408	5.70	-26.4	--		--		--		--		PS1			Bañados2014,
            		
J2315-0023			6.117	-25.38	--		--		0.28	0.60	Stripe82	Jiang2008,Wang2008
            		
J0840+5624			5.85	-26.66	--		--		3.20	0.64	SDSS		Fan2006,Wang2007
J0927+2001			5.79	-26.78	--		--		4.98	0.75	SDSS		Fan2006,Wang2007
J1335+3533			5.93	-26.82	--		--		2.34	0.50	SDSS		Fan2006,Wang2007
J1425+3254			5.85	-26.09	--		--		2.27	0.51	NDWFS		Cool2006,Wang2008

J1148+5253			5.70	-23.8	--		--		--		--		Neighbor	Mahabal2005,
J0841+2905			5.96	-27.08	--		--		1.00	0.43	SDSS		Goto2006,Wang2008
J1427+3312			6.12	-26.4	--		--		0.39	0.66	NDWFS		McGreer2006,Wang2008

J0002+2550			5.80	-27.66	--		--		0.20	0.88	SDSS		Fan2004,Wang2007
J1411+1217			5.93	-26.75	--		0.5		1.00	0.62	SDSS		Fan2004,DeRosa2011,Wang2007
J1602+4228			6.07	-26.82	--		--		1.41	0.54	SDSS		Fan2004,Wang2007

J0818+1722			6.00	-27.37	--		--		1.19	0.38	SDSS		Fan2006,Wang2008
J1137+3549			6.01	-27.08	--		--		0.10	1.13	SDSS		Fan2006,Wang2007
J1250+3130			6.13	-27.11	--		--		0.07	0.90	SDSS		Fan2006,Wang2007
J1436+5007			5.83	-26.51	--		--		-0.21	1.14	SDSS		Fan2006,Wang2007

